id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
4	blockchain	0.275	-0.0301	2	24	251	75	2019.0533
7	consensus mechanism	0.4209	0.8514	1	8	18	6	2019.3333
8	consumer demand	0.8157	-0.0259	2	7	11	3	2019
10	der	0.0819	-0.5325	4	16	99	24	2019
11	distributed computing	0.5268	0.7901	1	6	9	4	2019.5
12	electric vehicles	0.112	0.788	1	6	15	4	2018.25
15	energy economics	-0.6481	-0.4734	3	17	42	8	2019.125
18	energy management	-0.657	-0.2303	3	15	24	6	2019.3333
20	energy storage	-0.7587	-0.7078	3	10	15	3	2019
25	game theory	-0.7644	-0.0494	2	13	30	8	2018.75
31	industry 4.0	-0.6517	0.5037	1	7	13	4	2019.25
32	innovation ecosystem	0.7083	0.2549	4	13	27	7	2019.4286
34	iot	-0.4822	0.5066	2	7	15	4	2019.25
37	microgrid	0.2112	-0.8835	2	15	75	18	2018.8333
40	p2p market	-0.3207	-0.6036	4	19	110	25	2018.88
41	p2p network	0.7873	-0.2521	3	15	38	8	2019.5
42	p2p trading	-0.2448	-0.0333	2	24	225	63	2019
51	policy and regulation	0.5326	0.3833	4	11	21	5	2019.2
53	power systems	-0.1687	-0.9491	3	13	53	11	2019.2727
56	prosumers	0.6659	-0.5157	3	15	55	12	2019.5833
59	"security, privacy and trust"	-0.136	0.7013	1	17	45	14	2019.0714
60	smart community	-0.5951	0.2388	1	8	13	3	2019
61	smartgrid	0.1607	0.4269	1	21	84	19	2019.3158
64	sustainability	-0.2812	0.509	3	9	17	4	2018.75
65	system architectures	0.4104	-0.6673	2	16	59	12	2019.1667
